"","CALSQU","CHRARG","CITFRU","CLUCLU","COMGLA","CORBOR","CSSGUI","EUGEGG","FAROCC","GUAGLA","HAESAL","HIRRUG","HOMRAC","IXOFER","MICIMP","MICSIN","MYRLEP","PALRIP","PIPGLA","TABHET","UREBAC"
"250",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
"300",0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1
"350",0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1
"400",1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
"450",0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1
"500",1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
"550",1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
"600",1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
"650",1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
"700",1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"750",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"800",1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"850",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"900",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"950",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"1000",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
